Date/Time,Temperture(c)
2025-05-21T00:00,13.8
2025-05-21T01:00,13.3
2025-05-21T02:00,13.3
2025-05-21T03:00,13.3
2025-05-21T04:00,13.2
2025-05-21T05:00,13.2
2025-05-21T06:00,13.5
2025-05-21T07:00,13.4
2025-05-21T08:00,13.6
2025-05-21T09:00,14.6
2025-05-21T10:00,15.7
2025-05-21T11:00,17.3
2025-05-21T12:00,18.3
2025-05-21T13:00,19.5
2025-05-21T14:00,19.1
2025-05-21T15:00,19.7
2025-05-21T16:00,19.9
2025-05-21T17:00,20.3
2025-05-21T18:00,19.7
2025-05-21T19:00,17.9
2025-05-21T20:00,17.3
2025-05-21T21:00,16.8
2025-05-21T22:00,15.6
2025-05-21T23:00,14.8
2025-05-22T00:00,14.1
2025-05-22T01:00,13.5
2025-05-22T02:00,13.0
2025-05-22T03:00,12.5
2025-05-22T04:00,12.1
2025-05-22T05:00,11.8
2025-05-22T06:00,11.8
2025-05-22T07:00,11.8
2025-05-22T08:00,11.6
2025-05-22T09:00,12.0
2025-05-22T10:00,12.6
2025-05-22T11:00,13.3
2025-05-22T12:00,14.0
2025-05-22T13:00,15.7
2025-05-22T14:00,14.8
2025-05-22T15:00,15.7
2025-05-22T16:00,15.4
2025-05-22T17:00,14.5
2025-05-22T18:00,14.1
2025-05-22T19:00,13.7
2025-05-22T20:00,13.5
2025-05-22T21:00,13.4
2025-05-22T22:00,12.6
2025-05-22T23:00,11.4
2025-05-23T00:00,10.9
2025-05-23T01:00,10.2
2025-05-23T02:00,8.2
2025-05-23T03:00,7.8
2025-05-23T04:00,7.6
2025-05-23T05:00,7.1
2025-05-23T06:00,6.4
2025-05-23T07:00,6.7
2025-05-23T08:00,8.1
2025-05-23T09:00,10.5
2025-05-23T10:00,12.4
2025-05-23T11:00,13.9
2025-05-23T12:00,15.1
2025-05-23T13:00,15.9
2025-05-23T14:00,16.3
2025-05-23T15:00,16.6
2025-05-23T16:00,16.8
2025-05-23T17:00,16.7
2025-05-23T18:00,16.5
2025-05-23T19:00,15.7
2025-05-23T20:00,14.5
2025-05-23T21:00,13.1
2025-05-23T22:00,11.4
2025-05-23T23:00,10.1
2025-05-24T00:00,8.7
2025-05-24T01:00,7.2
2025-05-24T02:00,6.5
2025-05-24T03:00,5.8
2025-05-24T04:00,5.3
2025-05-24T05:00,4.8
2025-05-24T06:00,4.5
2025-05-24T07:00,5.0
2025-05-24T08:00,7.5
2025-05-24T09:00,10.3
2025-05-24T10:00,12.6
2025-05-24T11:00,14.4
2025-05-24T12:00,15.7
2025-05-24T13:00,16.7
2025-05-24T14:00,17.5
2025-05-24T15:00,18.1
2025-05-24T16:00,18.5
2025-05-24T17:00,18.6
2025-05-24T18:00,18.4
2025-05-24T19:00,17.8
2025-05-24T20:00,16.8
2025-05-24T21:00,14.9
2025-05-24T22:00,12.5
2025-05-24T23:00,10.6
2025-05-25T00:00,9.6
2025-05-25T01:00,9.2
2025-05-25T02:00,8.8
2025-05-25T03:00,8.5
2025-05-25T04:00,8.3
2025-05-25T05:00,8.5
2025-05-25T06:00,9.1
2025-05-25T07:00,10.0
2025-05-25T08:00,11.4
2025-05-25T09:00,13.5
2025-05-25T10:00,16.0
2025-05-25T11:00,17.9
2025-05-25T12:00,18.9
2025-05-25T13:00,19.3
2025-05-25T14:00,19.5
2025-05-25T15:00,19.6
2025-05-25T16:00,19.5
2025-05-25T17:00,19.2
2025-05-25T18:00,18.7
2025-05-25T19:00,18.0
2025-05-25T20:00,17.2
2025-05-25T21:00,16.2
2025-05-25T22:00,15.1
2025-05-25T23:00,14.3
2025-05-26T00:00,14.1
2025-05-26T01:00,14.2
2025-05-26T02:00,14.3
2025-05-26T03:00,14.1
2025-05-26T04:00,13.9
2025-05-26T05:00,13.8
2025-05-26T06:00,13.9
2025-05-26T07:00,14.1
2025-05-26T08:00,14.3
2025-05-26T09:00,15.6
2025-05-26T10:00,16.2
2025-05-26T11:00,16.8
2025-05-26T12:00,17.5
2025-05-26T13:00,18.1
2025-05-26T14:00,18.5
2025-05-26T15:00,18.8
2025-05-26T16:00,18.8
2025-05-26T17:00,18.6
2025-05-26T18:00,18.0
2025-05-26T19:00,17.1
2025-05-26T20:00,16.3
2025-05-26T21:00,15.6
2025-05-26T22:00,14.9
2025-05-26T23:00,14.2
2025-05-27T00:00,13.5
2025-05-27T01:00,12.8
2025-05-27T02:00,12.2
2025-05-27T03:00,11.6
2025-05-27T04:00,11.1
2025-05-27T05:00,10.8
2025-05-27T06:00,10.8
2025-05-27T07:00,11.1
2025-05-27T08:00,11.6
2025-05-27T09:00,12.3
2025-05-27T10:00,13.3
2025-05-27T11:00,14.0
2025-05-27T12:00,14.2
2025-05-27T13:00,14.2
2025-05-27T14:00,14.3
2025-05-27T15:00,14.6
2025-05-27T16:00,15.0
2025-05-27T17:00,15.2
2025-05-27T18:00,15.3
2025-05-27T19:00,15.3
2025-05-27T20:00,15.0
2025-05-27T21:00,14.3
2025-05-27T22:00,13.3
2025-05-27T23:00,12.4
